user_id,most_search_month_6,most_search_month_7,category_t6,category_t7,Trending_Type,Previous
06009930,penthouse 3,phù dao hoàng hậu,K-drama,C-drama,Changed,K-drama -> C-drama
06009968,vua bóng chu,attack on titan (season 4),Anime,Anime,Unchanged,Unchanged
06011614,one punch man,Tìm kiếm bằng giọng nói,Anime,other,Changed,Anime -> other
06012481,lưu ly mỹ nhân sát,con tim sắt đá,C-drama,Thai-drama,Changed,C-drama -> Thai-drama
06012745,shooting stars,phim việt,K-drama,Viet-drama,Changed,K-drama -> Viet-drama
06013189,attack on titan (final season),quỷ quyệt 4: chìa khóa quỷ dữ,Anime,Westen,Changed,Anime -> Westen
06015465,Nhân tình bí ẩn,những quý cô say xỉn,Viet-drama,K-drama,Changed,Viet-drama -> K-drama
06016004,love in sadness,con tim sắt đá,K-drama,Thai-drama,Changed,K-drama -> Thai-drama
06016123,yêu trong đau thương,cổ xà  truyen,K-drama,C-drama,Changed,K-drama -> C-drama
06016278,sao băng,hậu duệ mặt trời,K-drama,K-drama,Unchanged,Unchanged
06016713,my hero academia,my hero academia,Anime,Anime,Unchanged,Unchanged
06016808,better watch out,one punch man,Westen,Anime,Changed,Westen -> Anime
06017004,cô nàng đầu bếp của tôi,lớp học ú tú,Thai-drama,Anime,Changed,Thai-drama -> Anime
06018215,bạn trai tôi là hồ ly,CONAN MOVIE 17,K-drama,Anime,Changed,K-drama -> Anime
06018290,phim Thái Lan Minh Châu Rực Rỡ,đêm đếm sao,Thai-drama,Thai-drama,Unchanged,Unchanged
06018545,bạn trai tôi là hồ ly vietsub,cô nàng đẹp trai,K-drama,K-drama,Unchanged,Unchanged
06018821,saiki,nắm giữ sinh mệnh,Anime,K-drama,Changed,Anime -> K-drama
06020867,kênh vtv1,cá mập con - giai điệu vui nhộn,other,animation,Changed,other -> animation
06021009,running,running,Game shơw,Game shơw,Unchanged,Unchanged
06021864,thủ lĩnh thẻ bài,nghe bảo cô định tán bố con tôi,Anime,Anime,Unchanged,Unchanged
06022736,Liên Minh Công Lý: Phiên bản của Zack Snyder,SAMMY,Westen,other,Changed,Westen -> other
06024158,Zorro,Titan,Westen,Anime,Changed,Westen -> Anime
06024778,trung quốc,tinh hà xán lan,C-drama,C-drama,Unchanged,Unchanged
06024914,hoa của quỷ,hoàn hồn,K-drama,K-drama,Unchanged,Unchanged
06025166,người thầy y đức,mùa hè yêu dấu của chúng ta,Westen,K-drama,Changed,Westen -> K-drama
06025166,người thầy y đức,mùa hè yêu dấu của chúng ta,K-drama,K-drama,Unchanged,Unchanged
06025655,cá mực hầm mật 2,chỉ,C-drama,other,Changed,C-drama -> other
06026846,sao băng,tại sao lại là oh soo jae?,K-drama,K-drama,Unchanged,Unchanged
06027101,cuộc chiến thượng lưu,chuyện về thiếu nữa taisho,K-drama,Anime,Changed,K-drama -> Anime
06027428,vua bếp soma (phần 2),CHI LA QUAN,Anime,C-drama,Changed,Anime -> C-drama
06027627,yêu từng centimet,thế giới khủng long,C-drama,Westen,Changed,C-drama -> Westen
06028085,one piece,fairy tail,Anime,Anime,Unchanged,Unchanged
06028331,lưỡi cưa 9,thanh gươm diệt quỷ: phần kỹ viện trấn,Westen,Anime,Changed,Westen -> Anime
06028711,ẩn danh,Thử Thách Thần Tượng,other,Game shơw,Changed,other -> Game shơw
06029011,yêu thầm anh xã,lưu ly mỹ nhân sát,Thai-drama,C-drama,Changed,Thai-drama -> C-drama
06030450,trịnh nghiệp thành,âm dương sư,C-drama,C-drama,Unchanged,Unchanged
06031863,yêu nhầm chị dâu yêu nhầm chị dâu,dòng máu hai trái tim,Thai-drama,Thai-drama,Unchanged,Unchanged
06032173,sao băng,phi vu trieu do,K-drama,K-drama,Unchanged,Unchanged
06033622,THU,GIAI,other,other,Unchanged,Unchanged
06033670,THINH,TINH,other,other,Unchanged,Unchanged
06034326,hải tặc,cá mực hầm mật,Anime,C-drama,Changed,Anime -> C-drama
